#,Model Name,Color Varient,Color,RAM,Storage,avg rating,Reviews,Price
1,"OnePlus Nord 5G (Gray Onyx, 8GB RAM, 128GB Storage)",Gray Onyx,Gray,8GB,128GB,4.2,27648,27999
2,"OnePlus Nord 5G (Gray Ash, 12GB RAM, 256GB Storage)",Gray Ash,Gray,12GB,256GB,4.2,27648,29999
3,"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",Space Blue,Blue,4GB,64GB,4.2,9477,9999
4,"Redmi 9A (Sea Blue, 3GB Ram, 32GB Storage)",Sea Blue,Blue,3GB,32GB,4.1,9286,7499
5,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",Ocean Blue,Blue,6GB,128GB,4.2,119885,16499
6,"Redmi 8A Dual (Sky White, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",Sky White,White,2GB,32GB,4,31332,6999
7,"Redmi 9A (Midnight Black, 3GB Ram, 32GB Storage)",Midnight Black,Black,3GB,32GB,4.1,9286,7499
8,"Redmi 9 Prime (Matte Black, 4GB RAM, 64GB Storage) - Full HD+ Display & AI Quad Camera",Matte Black,Black,4GB,64GB,4.2,9477,9999
9,"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Blue,Blue,3GB,32GB,3.9,7801,7499
10,"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage)",Nature Green,Green,3GB,32GB,4.1,9286,7499
11,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display",Pebble Grey,Grey,4GB,64GB,4.2,21476,11999
12,"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Black,Black,3GB,32GB,3.9,7801,7499
13,"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Extra Upto INR 1500 Off on Exchange | Upto 12 Months No Cost EMI",Aurora Blue,Blue,6GB,128GB,4.1,23563,18499
14,"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 1000 Off on Exchange",Aurora Blue,Blue,4GB,64GB,4.2,25563,13999
15,"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",Mint Green,Green,4GB,64GB,4.2,9477,9999
16,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Mystery Black,Black,6GB,128GB,4,1585,11990
17,"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)",Space Black,Black,6GB,128GB,4.2,119885,16499
18,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 1000 Off on Exchange",Interstellar Black,Black,4GB,64GB,4.2,25563,13999
